숫자|기수|서수|서수(단위용)|다이얼(공)|다이얼(영)
8068|팔천 육십 팔|팔천 예순 여덟|팔천 예순 여덟|팔공육팔|팔영육팔
8069|팔천 육십 구|팔천 예순 아홉|팔천 예순 아홉|팔공육구|팔영육구
8070|팔천 칠십|팔천 일흔|팔천 일흔|팔공칠공|팔영칠영
8071|팔천 칠십 일|팔천 일흔 하나|팔천 일흔 한|팔공칠일|팔영칠일
8072|팔천 칠십 이|팔천 일흔 둘|팔천 일흔 두|팔공칠이|팔영칠이
8073|팔천 칠십 삼|팔천 일흔 셋|팔천 일흔 세|팔공칠삼|팔영칠삼
8074|팔천 칠십 사|팔천 일흔 넷|팔천 일흔 네|팔공칠사|팔영칠사
8075|팔천 칠십 오|팔천 일흔 다섯|팔천 일흔 다섯|팔공칠오|팔영칠오
8076|팔천 칠십 육|팔천 일흔 여섯|팔천 일흔 여섯|팔공칠육|팔영칠육
8077|팔천 칠십 칠|팔천 일흔 일곱|팔천 일흔 일곱|팔공칠칠|팔영칠칠
8078|팔천 칠십 팔|팔천 일흔 여덟|팔천 일흔 여덟|팔공칠팔|팔영칠팔
8079|팔천 칠십 구|팔천 일흔 아홉|팔천 일흔 아홉|팔공칠구|팔영칠구
8080|팔천 팔십|팔천 여든|팔천 여든|팔공팔공|팔영팔영
8081|팔천 팔십 일|팔천 여든 하나|팔천 여든 한|팔공팔일|팔영팔일
8082|팔천 팔십 이|팔천 여든 둘|팔천 여든 두|팔공팔이|팔영팔이
8083|팔천 팔십 삼|팔천 여든 셋|팔천 여든 세|팔공팔삼|팔영팔삼
8084|팔천 팔십 사|팔천 여든 넷|팔천 여든 네|팔공팔사|팔영팔사
8085|팔천 팔십 오|팔천 여든 다섯|팔천 여든 다섯|팔공팔오|팔영팔오
8086|팔천 팔십 육|팔천 여든 여섯|팔천 여든 여섯|팔공팔육|팔영팔육
8087|팔천 팔십 칠|팔천 여든 일곱|팔천 여든 일곱|팔공팔칠|팔영팔칠
8088|팔천 팔십 팔|팔천 여든 여덟|팔천 여든 여덟|팔공팔팔|팔영팔팔
8089|팔천 팔십 구|팔천 여든 아홉|팔천 여든 아홉|팔공팔구|팔영팔구
8090|팔천 구십|팔천 아흔|팔천 아흔|팔공구공|팔영구영
8091|팔천 구십 일|팔천 아흔 하나|팔천 아흔 한|팔공구일|팔영구일
8092|팔천 구십 이|팔천 아흔 둘|팔천 아흔 두|팔공구이|팔영구이
8093|팔천 구십 삼|팔천 아흔 셋|팔천 아흔 세|팔공구삼|팔영구삼
8094|팔천 구십 사|팔천 아흔 넷|팔천 아흔 네|팔공구사|팔영구사
8095|팔천 구십 오|팔천 아흔 다섯|팔천 아흔 다섯|팔공구오|팔영구오
8096|팔천 구십 육|팔천 아흔 여섯|팔천 아흔 여섯|팔공구육|팔영구육
8097|팔천 구십 칠|팔천 아흔 일곱|팔천 아흔 일곱|팔공구칠|팔영구칠
8098|팔천 구십 팔|팔천 아흔 여덟|팔천 아흔 여덟|팔공구팔|팔영구팔
8099|팔천 구십 구|팔천 아흔 아홉|팔천 아흔 아홉|팔공구구|팔영구구
8100|팔천 백|팔천 백|팔천 백|팔일공공|팔일영영
8101|팔천 백 일|팔천 백 하나|팔천 백 한|팔일공일|팔일영일
8102|팔천 백 이|팔천 백 둘|팔천 백 두|팔일공이|팔일영이
8103|팔천 백 삼|팔천 백 셋|팔천 백 세|팔일공삼|팔일영삼
8104|팔천 백 사|팔천 백 넷|팔천 백 네|팔일공사|팔일영사
8105|팔천 백 오|팔천 백 다섯|팔천 백 다섯|팔일공이오|팔일영오
8106|팔천 백 육|팔천 백 여섯|팔천 백 여섯|팔일공육|팔일영육
8107|팔천 백 칠|팔천 백 일곱|팔천 백 일곱|팔일공칠|팔일영칠
8108|팔천 백 팔|팔천 백 여덟|팔천 백 여덟|팔일공팔|팔일영팔
8109|팔천 백 구|팔천 백 아홉|팔천 백 아홉|팔일공구|팔일영구
8110|팔천 백 십|팔천 백 십|팔천 백 십|팔일일공|팔일일영
8111|팔천 백 십 일|팔천 백 십 하나|팔천 백 십 한|팔일일일|팔일일일
8112|팔천 백 십 이|팔천 백 십 둘|팔천 백 십 두|팔일일이|팔일일이
8113|팔천 백 십 삼|팔천 백 십 셋|팔천 백 십 세|팔일일삼|팔일일삼
8114|팔천 백 십 사|팔천 백 십 넷|팔천 백 십 네|팔일일사|팔일일사
8115|팔천 백 십 오|팔천 백 십 다섯|팔천 백 십 다섯|팔일일오|팔일일오
8116|팔천 백 십 육|팔천 백 십 여섯|팔천 백 십 여섯|팔일일육|팔일일육
8117|팔천 백 십 칠|팔천 백 십 일곱|팔천 백 십 일곱|팔일일칠|팔일일칠
8118|팔천 백 십 팔|팔천 백 십 여덟|팔천 백 십 여덟|팔일일팔|팔일일팔
8119|팔천 백 십 구|팔천 백 십 아홉|팔천 백 십 아홉|팔일일구|팔일일구
8120|팔천 백 이십|팔천 백 스물|팔천 백 스무|팔일이공|팔일이영
8121|팔천 백 이십 일|팔천 백 스물 하나|팔천 백 스물 한|팔일이일|팔일이일
8122|팔천 백 이십 이|팔천 백 스물 둘|팔천 백 스물 두|팔일이이|팔일이이
8123|팔천 백 이십 삼|팔천 백 스물 셋|팔천 백 스물 세|팔일이삼|팔일이삼
