숫자|기수|서수|서수(단위용)|다이얼(공)|다이얼(영)
1115|천 백 십 오|천 백 십 다섯|천 백 십 다섯|일일일오|일일일오
1116|천 백 십 육|천 백 십 여섯|천 백 십 여섯|일일일육|일일일육
1117|천 백 십 칠|천 백 십 일곱|천 백 십 일곱|일일일칠|일일일칠
1118|천 백 십 팔|천 백 십 여덟|천 백 십 여덟|일일일팔|일일일팔
1119|천 백 십 구|천 백 십 아홉|천 백 십 아홉|일일일구|일일일구
1120|천 백 이십|천 백 스물|천 백 스무|일일이공|일일이영
1121|천 백 이십 일|천 백 스물 하나|천 백 스물 한|일일이일|일일이일
1122|천 백 이십 이|천 백 스물 둘|천 백 스물 두|일일이이|일일이이
1123|천 백 이십 삼|천 백 스물 셋|천 백 스물 세|일일이삼|일일이삼
1124|천 백 이십 사|천 백 스물 넷|천 백 스물 네|일일이사|일일이사
1125|천 백 이십 오|천 백 스물 다섯|천 백 스물 다섯|일일이오|일일이오
1126|천 백 이십 육|천 백 스물 여섯|천 백 스물 여섯|일일이육|일일이육
1127|천 백 이십 칠|천 백 스물 일곱|천 백 스물 일곱|일일이칠|일일이칠
1128|천 백 이십 팔|천 백 스물 여덟|천 백 스물 여덟|일일이팔|일일이팔
1129|천 백 이십 구|천 백 스물 아홉|천 백 스물 아홉|일일이구|일일이구
1130|천 백 삼십|천 백 서른|천 백 서른|일일삼공|일일삼영
1131|천 백 삼십 일|천 백 서른 하나|천 백 서른 한|일일삼일|일일삼일
1132|천 백 삼십 이|천 백 서른 둘|천 백 서른 두|일일삼이|일일삼이
1133|천 백 삼십 삼|천 백 서른 셋|천 백 서른 세|일일삼삼|일일삼삼
1134|천 백 삼십 사|천 백 서른 넷|천 백 서른 네|일일삼사|일일삼사
1135|천 백 삼십 오|천 백 서른 다섯|천 백 서른 다섯|일일삼오|일일삼오
1136|천 백 삼십 육|천 백 서른 여섯|천 백 서른 여섯|일일삼육|일일삼육
1137|천 백 삼십 칠|천 백 서른 일곱|천 백 서른 일곱|일일삼칠|일일삼칠
1138|천 백 삼십 팔|천 백 서른 여덟|천 백 서른 여덟|일일삼팔|일일삼팔
1139|천 백 삼십 구|천 백 서른 아홉|천 백 서른 아홉|일일삼구|일일삼구
1140|천 백 사십|천 백 마흔|천 백 마흔|일일사공|일일사영
1141|천 백 사십 일|천 백 마흔 하나|천 백 마흔 한|일일사일|일일사일
1142|천 백 사십 이|천 백 마흔 둘|천 백 마흔 두|일일사이|일일사이
1143|천 백 사십 삼|천 백 마흔 셋|천 백 마흔 세|일일사삼|일일사삼
1144|천 백 사십 사|천 백 마흔 넷|천 백 마흔 네|일일사사|일일사사
1145|천 백 사십 오|천 백 마흔 다섯|천 백 마흔 다섯|일일사오|일일사오
1146|천 백 사십 육|천 백 마흔 여섯|천 백 마흔 여섯|일일사육|일일사육
1147|천 백 사십 칠|천 백 마흔 일곱|천 백 마흔 일곱|일일사칠|일일사칠
1148|천 백 사십 팔|천 백 마흔 여덟|천 백 마흔 여덟|일일사팔|일일사팔
1149|천 백 사십 구|천 백 마흔 아홉|천 백 마흔 아홉|일일사구|일일사구
1150|천 백 오십|천 백 쉰|천 백 쉰|일일오공|일일오영
1151|천 백 오십 일|천 백 쉰 하나|천 백 쉰 한|일일오일|일일오일
1152|천 백 오십 이|천 백 쉰 둘|천 백 쉰 두|일일오이|일일오이
1153|천 백 오십 삼|천 백 쉰 셋|천 백 쉰 세|일일오삼|일일오삼
1154|천 백 오십 사|천 백 쉰 넷|천 백 쉰 네|일일오사|일일오사
1155|천 백 오십 오|천 백 쉰 다섯|천 백 쉰 다섯|일일오오|일일오오
1156|천 백 오십 육|천 백 쉰 여섯|천 백 쉰 여섯|일일오육|일일오육
1157|천 백 오십 칠|천 백 쉰 일곱|천 백 쉰 일곱|일일오칠|일일오칠
1158|천 백 오십 팔|천 백 쉰 여덟|천 백 쉰 여덟|일일오팔|일일오팔
1159|천 백 오십 구|천 백 쉰 아홉|천 백 쉰 아홉|일일오구|일일오구
1160|천 백 육십|천 백 예순|천 백 예순|일일육공|일일육영
1161|천 백 육십 일|천 백 예순 하나|천 백 예순 한|일일육일|일일육일
1162|천 백 육십 이|천 백 예순 둘|천 백 예순 두|일일육이|일일육이
1163|천 백 육십 삼|천 백 예순 셋|천 백 예순 세|일일육삼|일일육삼
1164|천 백 육십 사|천 백 예순 넷|천 백 예순 네|일일육사|일일육사
1165|천 백 육십 오|천 백 예순 다섯|천 백 예순 다섯|일일육오|일일육오
1166|천 백 육십 육|천 백 예순 여섯|천 백 예순 여섯|일일육육|일일육육
1167|천 백 육십 칠|천 백 예순 일곱|천 백 예순 일곱|일일육칠|일일육칠
1168|천 백 육십 팔|천 백 예순 여덟|천 백 예순 여덟|일일육팔|일일육팔
1169|천 백 육십 구|천 백 예순 아홉|천 백 예순 아홉|일일육구|일일육구
1170|천 백 칠십|천 백 일흔|천 백 일흔|일일칠공|일일칠영
1171|천 백 칠십 일|천 백 일흔 하나|천 백 일흔 한|일일칠일|일일칠일
1172|천 백 칠십 이|천 백 일흔 둘|천 백 일흔 두|일일칠이|일일칠이
1173|천 백 칠십 삼|천 백 일흔 셋|천 백 일흔 세|일일칠삼|일일칠삼
1174|천 백 칠십 사|천 백 일흔 넷|천 백 일흔 네|일일칠사|일일칠사
1175|천 백 칠십 오|천 백 일흔 다섯|천 백 일흔 다섯|일일칠오|일일칠오
1176|천 백 칠십 육|천 백 일흔 여섯|천 백 일흔 여섯|일일칠육|일일칠육
1177|천 백 칠십 칠|천 백 일흔 일곱|천 백 일흔 일곱|일일칠칠|일일칠칠
1178|천 백 칠십 팔|천 백 일흔 여덟|천 백 일흔 여덟|일일칠팔|일일칠팔
1179|천 백 칠십 구|천 백 일흔 아홉|천 백 일흔 아홉|일일칠구|일일칠구
1180|천 백 팔십|천 백 여든|천 백 여든|일일팔공|일일팔영
1181|천 백 팔십 일|천 백 여든 하나|천 백 여든 한|일일팔일|일일팔일
1182|천 백 팔십 이|천 백 여든 둘|천 백 여든 두|일일팔이|일일팔이
1183|천 백 팔십 삼|천 백 여든 셋|천 백 여든 세|일일팔삼|일일팔삼
1184|천 백 팔십 사|천 백 여든 넷|천 백 여든 네|일일팔사|일일팔사
1185|천 백 팔십 오|천 백 여든 다섯|천 백 여든 다섯|일일팔오|일일팔오
1186|천 백 팔십 육|천 백 여든 여섯|천 백 여든 여섯|일일팔육|일일팔육
1187|천 백 팔십 칠|천 백 여든 일곱|천 백 여든 일곱|일일팔칠|일일팔칠
1188|천 백 팔십 팔|천 백 여든 여덟|천 백 여든 여덟|일일팔팔|일일팔팔
1189|천 백 팔십 구|천 백 여든 아홉|천 백 여든 아홉|일일팔구|일일팔구
1190|천 백 구십|천 백 아흔|천 백 아흔|일일구공|일일구영
1191|천 백 구십 일|천 백 아흔 하나|천 백 아흔 한|일일구일|일일구일
1192|천 백 구십 이|천 백 아흔 둘|천 백 아흔 두|일일구이|일일구이
1193|천 백 구십 삼|천 백 아흔 셋|천 백 아흔 세|일일구삼|일일구삼
1194|천 백 구십 사|천 백 아흔 넷|천 백 아흔 네|일일구사|일일구사
1195|천 백 구십 오|천 백 아흔 다섯|천 백 아흔 다섯|일일구오|일일구오
1196|천 백 구십 육|천 백 아흔 여섯|천 백 아흔 여섯|일일구육|일일구육
1197|천 백 구십 칠|천 백 아흔 일곱|천 백 아흔 일곱|일일구칠|일일구칠
1198|천 백 구십 팔|천 백 아흔 여덟|천 백 아흔 여덟|일일구팔|일일구팔
1199|천 백 구십 구|천 백 아흔 아홉|천 백 아흔 아홉|일일구구|일일구구
1200|천 이백|천 이백|천 이백|일이공공|일이영영
1201|천 이백 일|천 이백 하나|천 이백 한|일이공일|일이영일
1202|천 이백 이|천 이백 둘|천 이백 두|일이공이|일이영이
1203|천 이백 삼|천 이백 셋|천 이백 세|일이공삼|일이영삼
1204|천 이백 사|천 이백 넷|천 이백 네|일이공사|일이영사
1205|천 이백 오|천 이백 다섯|천 이백 다섯|일이공이오|일이영오
1206|천 이백 육|천 이백 여섯|천 이백 여섯|일이공육|일이영육
1207|천 이백 칠|천 이백 일곱|천 이백 일곱|일이공칠|일이영칠
1208|천 이백 팔|천 이백 여덟|천 이백 여덟|일이공팔|일이영팔
1209|천 이백 구|천 이백 아홉|천 이백 아홉|일이공구|일이영구
1210|천 이백 십|천 이백 십|천 이백 십|일이일공|일이일영
1211|천 이백 십 일|천 이백 십 하나|천 이백 십 한|일이일일|일이일일
1212|천 이백 십 이|천 이백 십 둘|천 이백 십 두|일이일이|일이일이
1213|천 이백 십 삼|천 이백 십 셋|천 이백 십 세|일이일삼|일이일삼
1214|천 이백 십 사|천 이백 십 넷|천 이백 십 네|일이일사|일이일사
1215|천 이백 십 오|천 이백 십 다섯|천 이백 십 다섯|일이일오|일이일오
1216|천 이백 십 육|천 이백 십 여섯|천 이백 십 여섯|일이일육|일이일육
1217|천 이백 십 칠|천 이백 십 일곱|천 이백 십 일곱|일이일칠|일이일칠
1218|천 이백 십 팔|천 이백 십 여덟|천 이백 십 여덟|일이일팔|일이일팔
1219|천 이백 십 구|천 이백 십 아홉|천 이백 십 아홉|일이일구|일이일구
1220|천 이백 이십|천 이백 스물|천 이백 스무|일이이공|일이이영
1221|천 이백 이십 일|천 이백 스물 하나|천 이백 스물 한|일이이일|일이이일
1222|천 이백 이십 이|천 이백 스물 둘|천 이백 스물 두|일이이이|일이이이
1223|천 이백 이십 삼|천 이백 스물 셋|천 이백 스물 세|일이이삼|일이이삼
1224|천 이백 이십 사|천 이백 스물 넷|천 이백 스물 네|일이이사|일이이사
1225|천 이백 이십 오|천 이백 스물 다섯|천 이백 스물 다섯|일이이오|일이이오
1226|천 이백 이십 육|천 이백 스물 여섯|천 이백 스물 여섯|일이이육|일이이육
1227|천 이백 이십 칠|천 이백 스물 일곱|천 이백 스물 일곱|일이이칠|일이이칠
1228|천 이백 이십 팔|천 이백 스물 여덟|천 이백 스물 여덟|일이이팔|일이이팔
1229|천 이백 이십 구|천 이백 스물 아홉|천 이백 스물 아홉|일이이구|일이이구
1230|천 이백 삼십|천 이백 서른|천 이백 서른|일이삼공|일이삼영
1231|천 이백 삼십 일|천 이백 서른 하나|천 이백 서른 한|일이삼일|일이삼일
1232|천 이백 삼십 이|천 이백 서른 둘|천 이백 서른 두|일이삼이|일이삼이
1233|천 이백 삼십 삼|천 이백 서른 셋|천 이백 서른 세|일이삼삼|일이삼삼
1234|천 이백 삼십 사|천 이백 서른 넷|천 이백 서른 네|일이삼사|일이삼사
1235|천 이백 삼십 오|천 이백 서른 다섯|천 이백 서른 다섯|일이삼오|일이삼오
1236|천 이백 삼십 육|천 이백 서른 여섯|천 이백 서른 여섯|일이삼육|일이삼육
1237|천 이백 삼십 칠|천 이백 서른 일곱|천 이백 서른 일곱|일이삼칠|일이삼칠
1238|천 이백 삼십 팔|천 이백 서른 여덟|천 이백 서른 여덟|일이삼팔|일이삼팔
1239|천 이백 삼십 구|천 이백 서른 아홉|천 이백 서른 아홉|일이삼구|일이삼구
1240|천 이백 사십|천 이백 마흔|천 이백 마흔|일이사공|일이사영
1241|천 이백 사십 일|천 이백 마흔 하나|천 이백 마흔 한|일이사일|일이사일
1242|천 이백 사십 이|천 이백 마흔 둘|천 이백 마흔 두|일이사이|일이사이
1243|천 이백 사십 삼|천 이백 마흔 셋|천 이백 마흔 세|일이사삼|일이사삼
1244|천 이백 사십 사|천 이백 마흔 넷|천 이백 마흔 네|일이사사|일이사사
1245|천 이백 사십 오|천 이백 마흔 다섯|천 이백 마흔 다섯|일이사오|일이사오
1246|천 이백 사십 육|천 이백 마흔 여섯|천 이백 마흔 여섯|일이사육|일이사육
1247|천 이백 사십 칠|천 이백 마흔 일곱|천 이백 마흔 일곱|일이사칠|일이사칠
1248|천 이백 사십 팔|천 이백 마흔 여덟|천 이백 마흔 여덟|일이사팔|일이사팔
1249|천 이백 사십 구|천 이백 마흔 아홉|천 이백 마흔 아홉|일이사구|일이사구
1250|천 이백 오십|천 이백 쉰|천 이백 쉰|일이오공|일이오영
1251|천 이백 오십 일|천 이백 쉰 하나|천 이백 쉰 한|일이오일|일이오일
1252|천 이백 오십 이|천 이백 쉰 둘|천 이백 쉰 두|일이오이|일이오이
1253|천 이백 오십 삼|천 이백 쉰 셋|천 이백 쉰 세|일이오삼|일이오삼
1254|천 이백 오십 사|천 이백 쉰 넷|천 이백 쉰 네|일이오사|일이오사
1255|천 이백 오십 오|천 이백 쉰 다섯|천 이백 쉰 다섯|일이오오|일이오오
1256|천 이백 오십 육|천 이백 쉰 여섯|천 이백 쉰 여섯|일이오육|일이오육
1257|천 이백 오십 칠|천 이백 쉰 일곱|천 이백 쉰 일곱|일이오칠|일이오칠
1258|천 이백 오십 팔|천 이백 쉰 여덟|천 이백 쉰 여덟|일이오팔|일이오팔
1259|천 이백 오십 구|천 이백 쉰 아홉|천 이백 쉰 아홉|일이오구|일이오구
1260|천 이백 육십|천 이백 예순|천 이백 예순|일이육공|일이육영
1261|천 이백 육십 일|천 이백 예순 하나|천 이백 예순 한|일이육일|일이육일
1262|천 이백 육십 이|천 이백 예순 둘|천 이백 예순 두|일이육이|일이육이
1263|천 이백 육십 삼|천 이백 예순 셋|천 이백 예순 세|일이육삼|일이육삼
1264|천 이백 육십 사|천 이백 예순 넷|천 이백 예순 네|일이육사|일이육사
1265|천 이백 육십 오|천 이백 예순 다섯|천 이백 예순 다섯|일이육오|일이육오
1266|천 이백 육십 육|천 이백 예순 여섯|천 이백 예순 여섯|일이육육|일이육육
1267|천 이백 육십 칠|천 이백 예순 일곱|천 이백 예순 일곱|일이육칠|일이육칠
1268|천 이백 육십 팔|천 이백 예순 여덟|천 이백 예순 여덟|일이육팔|일이육팔
1269|천 이백 육십 구|천 이백 예순 아홉|천 이백 예순 아홉|일이육구|일이육구
1270|천 이백 칠십|천 이백 일흔|천 이백 일흔|일이칠공|일이칠영
1271|천 이백 칠십 일|천 이백 일흔 하나|천 이백 일흔 한|일이칠일|일이칠일
1272|천 이백 칠십 이|천 이백 일흔 둘|천 이백 일흔 두|일이칠이|일이칠이
1273|천 이백 칠십 삼|천 이백 일흔 셋|천 이백 일흔 세|일이칠삼|일이칠삼
1274|천 이백 칠십 사|천 이백 일흔 넷|천 이백 일흔 네|일이칠사|일이칠사
1275|천 이백 칠십 오|천 이백 일흔 다섯|천 이백 일흔 다섯|일이칠오|일이칠오
1276|천 이백 칠십 육|천 이백 일흔 여섯|천 이백 일흔 여섯|일이칠육|일이칠육
1277|천 이백 칠십 칠|천 이백 일흔 일곱|천 이백 일흔 일곱|일이칠칠|일이칠칠
1278|천 이백 칠십 팔|천 이백 일흔 여덟|천 이백 일흔 여덟|일이칠팔|일이칠팔
1279|천 이백 칠십 구|천 이백 일흔 아홉|천 이백 일흔 아홉|일이칠구|일이칠구
1280|천 이백 팔십|천 이백 여든|천 이백 여든|일이팔공|일이팔영
1281|천 이백 팔십 일|천 이백 여든 하나|천 이백 여든 한|일이팔일|일이팔일
1282|천 이백 팔십 이|천 이백 여든 둘|천 이백 여든 두|일이팔이|일이팔이
1283|천 이백 팔십 삼|천 이백 여든 셋|천 이백 여든 세|일이팔삼|일이팔삼
1284|천 이백 팔십 사|천 이백 여든 넷|천 이백 여든 네|일이팔사|일이팔사
1285|천 이백 팔십 오|천 이백 여든 다섯|천 이백 여든 다섯|일이팔오|일이팔오
1286|천 이백 팔십 육|천 이백 여든 여섯|천 이백 여든 여섯|일이팔육|일이팔육
1287|천 이백 팔십 칠|천 이백 여든 일곱|천 이백 여든 일곱|일이팔칠|일이팔칠
1288|천 이백 팔십 팔|천 이백 여든 여덟|천 이백 여든 여덟|일이팔팔|일이팔팔
1289|천 이백 팔십 구|천 이백 여든 아홉|천 이백 여든 아홉|일이팔구|일이팔구
1290|천 이백 구십|천 이백 아흔|천 이백 아흔|일이구공|일이구영
1291|천 이백 구십 일|천 이백 아흔 하나|천 이백 아흔 한|일이구일|일이구일
1292|천 이백 구십 이|천 이백 아흔 둘|천 이백 아흔 두|일이구이|일이구이
1293|천 이백 구십 삼|천 이백 아흔 셋|천 이백 아흔 세|일이구삼|일이구삼
1294|천 이백 구십 사|천 이백 아흔 넷|천 이백 아흔 네|일이구사|일이구사
1295|천 이백 구십 오|천 이백 아흔 다섯|천 이백 아흔 다섯|일이구오|일이구오
1296|천 이백 구십 육|천 이백 아흔 여섯|천 이백 아흔 여섯|일이구육|일이구육
1297|천 이백 구십 칠|천 이백 아흔 일곱|천 이백 아흔 일곱|일이구칠|일이구칠
1298|천 이백 구십 팔|천 이백 아흔 여덟|천 이백 아흔 여덟|일이구팔|일이구팔
1299|천 이백 구십 구|천 이백 아흔 아홉|천 삼백|일이구구|일이구구
1300|천 삼백|천 삼백|천 삼백|일삼공공|일삼영영
1301|천 삼백 일|천 삼백 하나|천 삼백 한|일삼공일|일삼영일
1302|천 삼백 이|천 삼백 둘|천 삼백 두|일삼공이|일삼영이
1303|천 삼백 삼|천 삼백 셋|천 삼백 세|일삼공삼|일삼영삼
1304|천 삼백 사|천 삼백 넷|천 삼백 네|일삼공사|일삼영사
1305|천 삼백 오|천 삼백 다섯|천 삼백 다섯|일삼공이오|일삼영오
1306|천 삼백 육|천 삼백 여섯|천 삼백 여섯|일삼공육|일삼영육
1307|천 삼백 칠|천 삼백 일곱|천 삼백 일곱|일삼공칠|일삼영칠
1308|천 삼백 팔|천 삼백 여덟|천 삼백 여덟|일삼공팔|일삼영팔
1309|천 삼백 구|천 삼백 아홉|천 삼백 아홉|일삼공구|일삼영구
1310|천 삼백 십|천 삼백 십|천 삼백 십|일삼일공|일삼일영
1311|천 삼백 십 일|천 삼백 십 하나|천 삼백 십 한|일삼일일|일삼일일
1312|천 삼백 십 이|천 삼백 십 둘|천 삼백 십 두|일삼일이|일삼일이
1313|천 삼백 십 삼|천 삼백 십 셋|천 삼백 십 세|일삼일삼|일삼일삼
1314|천 삼백 십 사|천 삼백 십 넷|천 삼백 십 네|일삼일사|일삼일사
1315|천 삼백 십 오|천 삼백 십 다섯|천 삼백 십 다섯|일삼일오|일삼일오
1316|천 삼백 십 육|천 삼백 십 여섯|천 삼백 십 여섯|일삼일육|일삼일육
1317|천 삼백 십 칠|천 삼백 십 일곱|천 삼백 십 일곱|일삼일칠|일삼일칠
1318|천 삼백 십 팔|천 삼백 십 여덟|천 삼백 십 여덟|일삼일팔|일삼일팔
1319|천 삼백 십 구|천 삼백 십 아홉|천 삼백 십 아홉|일삼일구|일삼일구
1320|천 삼백 이십|천 삼백 스물|천 삼백 스무|일삼이공|일삼이영
1321|천 삼백 이십 일|천 삼백 스물 하나|천 삼백 스물 한|일삼이일|일삼이일
1322|천 삼백 이십 이|천 삼백 스물 둘|천 삼백 스물 두|일삼이이|일삼이이
1323|천 삼백 이십 삼|천 삼백 스물 셋|천 삼백 스물 세|일삼이삼|일삼이삼
1324|천 삼백 이십 사|천 삼백 스물 넷|천 삼백 스물 네|일삼이사|일삼이사
1325|천 삼백 이십 오|천 삼백 스물 다섯|천 삼백 스물 다섯|일삼이오|일삼이오
1326|천 삼백 이십 육|천 삼백 스물 여섯|천 삼백 스물 여섯|일삼이육|일삼이육
1327|천 삼백 이십 칠|천 삼백 스물 일곱|천 삼백 스물 일곱|일삼이칠|일삼이칠
1328|천 삼백 이십 팔|천 삼백 스물 여덟|천 삼백 스물 여덟|일삼이팔|일삼이팔
1329|천 삼백 이십 구|천 삼백 스물 아홉|천 삼백 스물 아홉|일삼이구|일삼이구
1330|천 삼백 삼십|천 삼백 서른|천 삼백 서른|일삼삼공|일삼삼영
1331|천 삼백 삼십 일|천 삼백 서른 하나|천 삼백 서른 한|일삼삼일|일삼삼일
1332|천 삼백 삼십 이|천 삼백 서른 둘|천 삼백 서른 두|일삼삼이|일삼삼이
1333|천 삼백 삼십 삼|천 삼백 서른 셋|천 삼백 서른 세|일삼삼삼|일삼삼삼
1334|천 삼백 삼십 사|천 삼백 서른 넷|천 삼백 서른 네|일삼삼사|일삼삼사
1335|천 삼백 삼십 오|천 삼백 서른 다섯|천 삼백 서른 다섯|일삼삼오|일삼삼오
1336|천 삼백 삼십 육|천 삼백 서른 여섯|천 삼백 서른 여섯|일삼삼육|일삼삼육
1337|천 삼백 삼십 칠|천 삼백 서른 일곱|천 삼백 서른 일곱|일삼삼칠|일삼삼칠
1338|천 삼백 삼십 팔|천 삼백 서른 여덟|천 삼백 서른 여덟|일삼삼팔|일삼삼팔
1339|천 삼백 삼십 구|천 삼백 서른 아홉|천 삼백 서른 아홉|일삼삼구|일삼삼구
1340|천 삼백 사십|천 삼백 마흔|천 삼백 마흔|일삼사공|일삼사영
1341|천 삼백 사십 일|천 삼백 마흔 하나|천 삼백 마흔 한|일삼사일|일삼사일
1342|천 삼백 사십 이|천 삼백 마흔 둘|천 삼백 마흔 두|일삼사이|일삼사이
1343|천 삼백 사십 삼|천 삼백 마흔 셋|천 삼백 마흔 세|일삼사삼|일삼사삼
1344|천 삼백 사십 사|천 삼백 마흔 넷|천 삼백 마흔 네|일삼사사|일삼사사
1345|천 삼백 사십 오|천 삼백 마흔 다섯|천 삼백 마흔 다섯|일삼사오|일삼사오
1346|천 삼백 사십 육|천 삼백 마흔 여섯|천 삼백 마흔 여섯|일삼사육|일삼사육
1347|천 삼백 사십 칠|천 삼백 마흔 일곱|천 삼백 마흔 일곱|일삼사칠|일삼사칠
1348|천 삼백 사십 팔|천 삼백 마흔 여덟|천 삼백 마흔 여덟|일삼사팔|일삼사팔
1349|천 삼백 사십 구|천 삼백 마흔 아홉|천 삼백 마흔 아홉|일삼사구|일삼사구
1350|천 삼백 오십|천 삼백 쉰|천 삼백 쉰|일삼오공|일삼오영
1351|천 삼백 오십 일|천 삼백 쉰 하나|천 삼백 쉰 한|일삼오일|일삼오일
1352|천 삼백 오십 이|천 삼백 쉰 둘|천 삼백 쉰 두|일삼오이|일삼오이
1353|천 삼백 오십 삼|천 삼백 쉰 셋|천 삼백 쉰 세|일삼오삼|일삼오삼
1354|천 삼백 오십 사|천 삼백 쉰 넷|천 삼백 쉰 네|일삼오사|일삼오사
1355|천 삼백 오십 오|천 삼백 쉰 다섯|천 삼백 쉰 다섯|일삼오오|일삼오오
1356|천 삼백 오십 육|천 삼백 쉰 여섯|천 삼백 쉰 여섯|일삼오육|일삼오육
1357|천 삼백 오십 칠|천 삼백 쉰 일곱|천 삼백 쉰 일곱|일삼오칠|일삼오칠
1358|천 삼백 오십 팔|천 삼백 쉰 여덟|천 삼백 쉰 여덟|일삼오팔|일삼오팔
1359|천 삼백 오십 구|천 삼백 쉰 아홉|천 삼백 쉰 아홉|일삼오구|일삼오구
1360|천 삼백 육십|천 삼백 예순|천 삼백 예순|일삼육공|일삼육영
1361|천 삼백 육십 일|천 삼백 예순 하나|천 삼백 예순 한|일삼육일|일삼육일
1362|천 삼백 육십 이|천 삼백 예순 둘|천 삼백 예순 두|일삼육이|일삼육이
1363|천 삼백 육십 삼|천 삼백 예순 셋|천 삼백 예순 세|일삼육삼|일삼육삼
1364|천 삼백 육십 사|천 삼백 예순 넷|천 삼백 예순 네|일삼육사|일삼육사
1365|천 삼백 육십 오|천 삼백 예순 다섯|천 삼백 예순 다섯|일삼육오|일삼육오
1366|천 삼백 육십 육|천 삼백 예순 여섯|천 삼백 예순 여섯|일삼육육|일삼육육
1367|천 삼백 육십 칠|천 삼백 예순 일곱|천 삼백 예순 일곱|일삼육칠|일삼육칠
1368|천 삼백 육십 팔|천 삼백 예순 여덟|천 삼백 예순 여덟|일삼육팔|일삼육팔
1369|천 삼백 육십 구|천 삼백 예순 아홉|천 삼백 예순 아홉|일삼육구|일삼육구
1370|천 삼백 칠십|천 삼백 일흔|천 삼백 일흔|일삼칠공|일삼칠영
1371|천 삼백 칠십 일|천 삼백 일흔 하나|천 삼백 일흔 한|일삼칠일|일삼칠일
1372|천 삼백 칠십 이|천 삼백 일흔 둘|천 삼백 일흔 두|일삼칠이|일삼칠이
1373|천 삼백 칠십 삼|천 삼백 일흔 셋|천 삼백 일흔 세|일삼칠삼|일삼칠삼
1374|천 삼백 칠십 사|천 삼백 일흔 넷|천 삼백 일흔 네|일삼칠사|일삼칠사
1375|천 삼백 칠십 오|천 삼백 일흔 다섯|천 삼백 일흔 다섯|일삼칠오|일삼칠오
1376|천 삼백 칠십 육|천 삼백 일흔 여섯|천 삼백 일흔 여섯|일삼칠육|일삼칠육
1377|천 삼백 칠십 칠|천 삼백 일흔 일곱|천 삼백 일흔 일곱|일삼칠칠|일삼칠칠
1378|천 삼백 칠십 팔|천 삼백 일흔 여덟|천 삼백 일흔 여덟|일삼칠팔|일삼칠팔
1379|천 삼백 칠십 구|천 삼백 일흔 아홉|천 삼백 일흔 아홉|일삼칠구|일삼칠구
1380|천 삼백 팔십|천 삼백 여든|천 삼백 여든|일삼팔공|일삼팔영
1381|천 삼백 팔십 일|천 삼백 여든 하나|천 삼백 여든 한|일삼팔일|일삼팔일
1382|천 삼백 팔십 이|천 삼백 여든 둘|천 삼백 여든 두|일삼팔이|일삼팔이
1383|천 삼백 팔십 삼|천 삼백 여든 셋|천 삼백 여든 세|일삼팔삼|일삼팔삼
1384|천 삼백 팔십 사|천 삼백 여든 넷|천 삼백 여든 네|일삼팔사|일삼팔사
1385|천 삼백 팔십 오|천 삼백 여든 다섯|천 삼백 여든 다섯|일삼팔오|일삼팔오
1386|천 삼백 팔십 육|천 삼백 여든 여섯|천 삼백 여든 여섯|일삼팔육|일삼팔육
1387|천 삼백 팔십 칠|천 삼백 여든 일곱|천 삼백 여든 일곱|일삼팔칠|일삼팔칠
1388|천 삼백 팔십 팔|천 삼백 여든 여덟|천 삼백 여든 여덟|일삼팔팔|일삼팔팔
1389|천 삼백 팔십 구|천 삼백 여든 아홉|천 삼백 여든 아홉|일삼팔구|일삼팔구
1390|천 삼백 구십|천 삼백 아흔|천 삼백 아흔|일삼구공|일삼구영
1391|천 삼백 구십 일|천 삼백 아흔 하나|천 삼백 아흔 한|일삼구일|일삼구일
1392|천 삼백 구십 이|천 삼백 아흔 둘|천 삼백 아흔 두|일삼구이|일삼구이
1393|천 삼백 구십 삼|천 삼백 아흔 셋|천 삼백 아흔 세|일삼구삼|일삼구삼
1394|천 삼백 구십 사|천 삼백 아흔 넷|천 삼백 아흔 네|일삼구사|일삼구사
1395|천 삼백 구십 오|천 삼백 아흔 다섯|천 삼백 아흔 다섯|일삼구오|일삼구오
1396|천 삼백 구십 육|천 삼백 아흔 여섯|천 삼백 아흔 여섯|일삼구육|일삼구육
1397|천 삼백 구십 칠|천 삼백 아흔 일곱|천 삼백 아흔 일곱|일삼구칠|일삼구칠
1398|천 삼백 구십 팔|천 삼백 아흔 여덟|천 삼백 아흔 여덟|일삼구팔|일삼구팔
1399|천 삼백 구십 구|천 삼백 아흔 아홉|천 사백|일삼구구|일삼구구
1400|천 사백|천 사백|천 사백|일사공공|일사영영
1401|천 사백 일|천 사백 하나|천 사백 한|일사공일|일사영일
1402|천 사백 이|천 사백 둘|천 사백 두|일사공이|일사영이
1403|천 사백 삼|천 사백 셋|천 사백 세|일사공삼|일사영삼
1404|천 사백 사|천 사백 넷|천 사백 네|일사공사|일사영사
1405|천 사백 오|천 사백 다섯|천 사백 다섯|일사공이오|일사영오
1406|천 사백 육|천 사백 여섯|천 사백 여섯|일사공육|일사영육
1407|천 사백 칠|천 사백 일곱|천 사백 일곱|일사공칠|일사영칠
1408|천 사백 팔|천 사백 여덟|천 사백 여덟|일사공팔|일사영팔
1409|천 사백 구|천 사백 아홉|천 사백 아홉|일사공구|일사영구
1410|천 사백 십|천 사백 십|천 사백 십|일사일공|일사일영
1411|천 사백 십 일|천 사백 십 하나|천 사백 십 한|일사일일|일사일일
